index,title,desc,hot,url,image,source,type,ranking_id,published_at,datetime
1,The case against JPEG XL,26 comments · compsci,38,https://giannirosato.com/blog/post/case-against-jxl,,Lobsters,Hottest,hottest,2026-09-13T20:18:11.130-05:00,2026-09-15 00:22:19
2,"Anecdotally, programmers dislike ""reduce""",65 comments · programming,75,https://evanhahn.com/posts/2026-09-13-programmers-dislike-reduce/,,Lobsters,Hottest,hottest,2026-09-13T18:59:05.562-05:00,2026-09-15 00:22:19
3,Mergiraf: A syntax-aware git merge driver for a growing collection of programming languages and file formats,"4 comments · programming, vcs",20,https://codeberg.org/mergiraf/mergiraf,,Lobsters,Hottest,hottest,2026-09-14T06:16:14.338-05:00,2026-09-15 00:22:19
4,Why is the x86 undefined instruction called ud2? Why 2?,"1 comments · assembly, historical",42,https://devblogs.microsoft.com/oldnewthing/20260910-00/?p=112689,,Lobsters,Hottest,hottest,2026-09-13T22:34:33.147-05:00,2026-09-15 00:22:19
5,"Writing a Guix service from scratch, as a beginner",8 comments · nix,29,https://aloysberger.com/posts/writing-a-guix-service-from-scratch-as-a-beginner.html,,Lobsters,Hottest,hottest,2026-09-13T18:24:10.765-05:00,2026-09-15 00:22:19
6,Why Am I Still Programming,"1 comments · practices, video",7,https://www.youtube.com/watch?v=pOAj3mor8y8,,Lobsters,Hottest,hottest,2026-09-14T08:28:42.300-05:00,2026-09-15 00:22:19
7,Watch what you say: Apple opens the door to a nightmare world of always-listening tech,76 comments · privacy,101,https://this.weekinsecurity.com/watch-what-you-say-apple-opens-the-door-to-a-nightmare-world-of-always-listening-tech/,,Lobsters,Hottest,hottest,2026-09-13T07:10:30.087-05:00,2026-09-15 00:22:19
8,We are all Product Engineers now,"14 comments · programming, vibecoding",8,https://seldo.com/posts/we-are-all-product-engineers-now/,,Lobsters,Hottest,hottest,2026-09-14T05:52:45.255-05:00,2026-09-15 00:22:19
9,what if my git host were a static site generator?,"25 comments · javascript, vcs, web",60,https://char.lt/blog/2026/09/sorcery-repo-viewer/,,Lobsters,Hottest,hottest,2026-09-13T11:10:06.327-05:00,2026-09-15 00:22:19
10,Finished aerial maps in under 30 minutes,1 comments · graphics,4,https://blog.zm.is/finished-aerial-maps-within-30-minutes/,,Lobsters,Hottest,hottest,2026-09-14T08:37:36.714-05:00,2026-09-15 00:22:19
11,Switching to GNU Guix: A Beginner's Perspective,22 comments · nix,43,https://whhone.com/posts/switching-to-gnu-guix/,,Lobsters,Hottest,hottest,2026-09-13T11:19:47.288-05:00,2026-09-15 00:22:19
12,What are you doing this week?,"19 comments · ask, programming",8,https://lobste.rs/s/0inlyw,,Lobsters,Hottest,hottest,2026-09-14T02:47:47.767-05:00,2026-09-15 00:22:19
13,What blog posts influenced your thinking the most?,2 comments · practices,3,https://lobste.rs/s/lbavmm,,Lobsters,Hottest,hottest,2026-09-14T10:27:32.545-05:00,2026-09-15 00:22:19
14,Purely Functional Operating Systems,"0 comments · osdev, programming",29,https://eighty-twenty.org/2022/06/23/henderson-functional-operating-systems-1982,,Lobsters,Hottest,hottest,2026-09-13T19:03:38.791-05:00,2026-09-15 00:22:19
15,There are only twelve 4x4 sudokus - and a cool trick for finding minimal subsets,"0 comments · compsci, math, python",5,https://baldino.dev/blog/there-are-only-twelve-4x4-sudokus/,,Lobsters,Hottest,hottest,2026-09-14T10:00:16.981-05:00,2026-09-15 00:22:19
16,Homebrew 7.0.0,"18 comments · mac, release",56,https://brew.sh/2026/09/13/homebrew-7.0.0/,,Lobsters,Hottest,hottest,2026-09-13T07:22:47.716-05:00,2026-09-15 00:22:19
17,Sticking Functions Where They Donʼt Belong,0 comments · haskell,5,https://blog.veritates.love/functions-as-data,,Lobsters,Hottest,hottest,2026-09-14T06:46:10.456-05:00,2026-09-15 00:22:19
18,Golang developers should try Odin,36 comments · programming,23,https://rm4n0s.github.io/posts/2-go-devs-should-learn-odin/,,Lobsters,Hottest,hottest,2026-09-13T10:23:41.394-05:00,2026-09-15 00:22:19
19,This PCB is brought to you by Fable 5,"7 comments · hardware, vibecoding",14,https://a6mzero.com/posts/this-pcb-is-brought-to-you-by-fable-5/,,Lobsters,Hottest,hottest,2026-09-13T13:00:25.852-05:00,2026-09-15 00:22:19
20,Singeli: High-level interface for low-level programming,"1 comments · apl, compilers, performance",8,https://github.com/mlochbaum/Singeli,,Lobsters,Hottest,hottest,2026-09-13T21:26:52.276-05:00,2026-09-15 00:22:19
21,heol,1 comments · lisp,71,https://wiki.xxiivv.com/site/heol.html,,Lobsters,Hottest,hottest,2026-09-13T00:59:41.454-05:00,2026-09-15 00:22:19
22,From Git to Fossil (2025),23 comments · vcs,32,https://lucio.albenga.es/web-en/posts/2025/from-git-to-fossil.html,,Lobsters,Hottest,hottest,2026-09-13T02:51:19.345-05:00,2026-09-15 00:22:19
23,I made a build visualizer to understand Bun’s compile times,"28 comments · compilers, performance",110,https://lalitm.com/post/buildprof/,,Lobsters,Hottest,hottest,2026-09-12T09:48:24.716-05:00,2026-09-15 00:22:19
24,Can a regex match valid card numbers?,6 comments · compsci,21,https://abstractnonsense.xyz/blog/2025-08-31-can-a-regex-match-valid-card-numbers/,,Lobsters,Hottest,hottest,2026-09-13T08:39:15.845-05:00,2026-09-15 00:22:19
25,After Math,"6 comments · math, vibecoding",19,https://terrytao.wordpress.com/2026/09/12/after-math/,,Lobsters,Hottest,hottest,2026-09-13T07:59:09.092-05:00,2026-09-15 00:22:19
1,The case against JPEG XL,27 comments · compsci,40,https://giannirosato.com/blog/post/case-against-jxl,,Lobsters,Hottest,hottest,2026-09-13T20:18:11.130-05:00,2026-09-15 01:17:41
2,"Anecdotally, programmers dislike ""reduce""",71 comments · programming,76,https://evanhahn.com/posts/2026-09-13-programmers-dislike-reduce/,,Lobsters,Hottest,hottest,2026-09-13T18:59:05.562-05:00,2026-09-15 01:17:41
3,Mergiraf: A syntax-aware git merge driver for a growing collection of programming languages and file formats,"4 comments · programming, vcs",23,https://codeberg.org/mergiraf/mergiraf,,Lobsters,Hottest,hottest,2026-09-14T06:16:14.338-05:00,2026-09-15 01:17:41
4,Why Am I Still Programming,"4 comments · practices, video",10,https://www.youtube.com/watch?v=pOAj3mor8y8,,Lobsters,Hottest,hottest,2026-09-14T08:28:42.300-05:00,2026-09-15 01:17:41
5,Why is the x86 undefined instruction called ud2? Why 2?,"1 comments · assembly, historical",45,https://devblogs.microsoft.com/oldnewthing/20260910-00/?p=112689,,Lobsters,Hottest,hottest,2026-09-13T22:34:33.147-05:00,2026-09-15 01:17:41
