index,title,desc,hot,url,image,source,type,ranking_id,surface,published_at,datetime
1,Don’t Let Architecture Astronauts Scare You (2001),11 comments · programming,17,https://www.joelonsoftware.com/2001/04/21/dont-let-architecture-astronauts-scare-you/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T07:08:52.631-05:00,2026-09-20 00:21:30
2,The scourge of x86 emulation,0 comments · hardware,45,https://fex-emu.com/Scourge-of-emulation/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T00:01:05.094-05:00,2026-09-20 00:21:30
3,kicking the tires on jev (TypeSafe's System One model) with 2048,"2 comments · ai, games",8,https://gist.github.com/cablehead/bdf9ad946ceb26d9008976e49c9bfbbb,,Lobsters,Hottest,hottest,hotlist,2026-09-19T07:38:11.952-05:00,2026-09-20 00:21:30
4,Typst makes big strides,"18 comments · a11y, programming",108,https://lwn.net/Articles/1092993/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T08:14:17.568-05:00,2026-09-20 00:21:30
5,GPT-6 Astra Solves a WWI German Radio Cipher,"7 comments · cryptography, vibecoding",11,https://www.prinzai.com/p/gpt-6-astra-solves-a-wwi-german-radio,,Lobsters,Hottest,hottest,hotlist,2026-09-19T03:44:38.517-05:00,2026-09-20 00:21:30
6,“The Secret Life of Circuits” is here,1 comments · hardware,11,https://blog.coredump.cx/p/the-secret-life-of-circuits-is-here,,Lobsters,Hottest,hottest,hotlist,2026-09-19T07:12:18.763-05:00,2026-09-20 00:21:30
7,I don't like passkeys,43 comments · security,65,https://hawksley.dev/blog/i-dont-like-passkeys,,Lobsters,Hottest,hottest,hotlist,2026-09-18T07:52:18.949-05:00,2026-09-20 00:21:30
8,There's no point at which turning your brain off will work,11 comments · vibecoding,40,https://danluu.com/brain-off/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T12:15:40.357-05:00,2026-09-20 00:21:30
9,"I Built Non-Autoregressive Decision Models a Year Ago. Then a Frontier Lab Called It a ""Breakthrough""",1 comments · ai,7,https://dev.to/nandakishor_m_6cc0adfde9f/i-built-non-autoregressive-decision-models-a-year-ago-then-a-frontier-lab-called-it-a-18me,,Lobsters,Hottest,hottest,hotlist,2026-09-19T08:41:57.630-05:00,2026-09-20 00:21:30
10,Write while learning,1 comments · practices,13,https://purplesyringa.moe/blog/write-while-learning/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T01:56:24.938-05:00,2026-09-20 00:21:30
11,LispBM: Concurrent Lisp for Microcontrollers,"0 comments · hardware, lisp",8,https://www.lispbm.com/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T06:36:56.503-05:00,2026-09-20 00:21:30
12,Saving another 100TB of RAM with math (and Rust),"0 comments · performance, rust",26,https://blog.cloudflare.com/saving-100-tb-of-ram-with-math/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T19:28:07.954-05:00,2026-09-20 00:21:30
13,Reviving the language that brought us the Jak & Daxter Series,"1 comments · games, lisp",5,https://opengoal.dev/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T09:28:49.182-05:00,2026-09-20 00:21:30
14,What happens to TLDs when their country stops existing? (2022),2 comments · web,4,https://astrid.tech/2022/04/05/0/dead-tlds/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T06:53:28.060-05:00,2026-09-20 00:21:30
15,Benchmarking Wild vs Mold,"3 comments · compilers, performance",50,https://davidlattimore.github.io/posts/2026/09/18/benchmarking-wild-vs-mold.html,,Lobsters,Hottest,hottest,hotlist,2026-09-18T10:25:08.333-05:00,2026-09-20 00:21:30
16,AI Is an Elite Crime Spree,1 comments · law,3,https://www.thebignewsletter.com/p/ai-is-an-elite-crime-spree,,Lobsters,Hottest,hottest,hotlist,2026-09-19T10:44:52.572-05:00,2026-09-20 00:21:30
17,CSS-Tricks could be a co-op,"2 comments · css, culture",39,https://ericwbailey.website/published/css-tricks-could-be-a-co-op/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T17:11:51.364-05:00,2026-09-20 00:21:30
18,Consistent Hashing Proofs,"0 comments · compsci, math",3,https://ch.terabyteoff.com/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T09:24:51.480-05:00,2026-09-20 00:21:30
19,What is still exciting in tech?,"200 comments · ask, culture",151,https://lobste.rs/s/lcjf7c,,Lobsters,Hottest,hottest,hotlist,2026-09-18T03:14:52.256-05:00,2026-09-20 00:21:30
20,"Vale, code-like linting for prose","6 comments · practices, vibecoding",10,https://vale.sh,,Lobsters,Hottest,hottest,hotlist,2026-09-18T15:38:52.432-05:00,2026-09-20 00:21:30
21,OpenLoco version 26.09,"0 comments · c++, games, release",8,https://openloco.io/news/2026/09/openloco-v26.09.html,,Lobsters,Hottest,hottest,hotlist,2026-09-18T23:22:19.845-05:00,2026-09-20 00:21:30
22,How OpenAI Used Its Own LLMs to Design Its Jalapeño Chip,"0 comments · ai, vibecoding",4,https://spectrum.ieee.org/llms-for-chip-design,,Lobsters,Hottest,hottest,hotlist,2026-09-19T04:52:30.528-05:00,2026-09-20 00:21:30
23,"FAQ: Why isn’t mutable a subtype of immutable, or vice versa?",4 comments · plt,18,https://crumbles.blog/posts/2026-09-17-immutable-mutable.html,,Lobsters,Hottest,hottest,hotlist,2026-09-18T10:30:01.511-05:00,2026-09-20 00:21:30
24,Faster JSON parsing with SVE2 on ARM processors,"0 comments · assembly, performance",1,https://lemire.me/blog/2026/09/18/faster-json-parsing-with-sve2-on-arm-processors/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T10:10:09.421-05:00,2026-09-20 00:21:30
25,sudo and OpenDoas timestamp files (2020),"4 comments · security, unix",10,https://π.duncano.de/sudo-doas-timestamp-files,,Lobsters,Hottest,hottest,hotlist,2026-09-18T14:36:19.605-05:00,2026-09-20 00:21:30
1,Don’t Let Architecture Astronauts Scare You (2001),12 comments · programming,19,https://www.joelonsoftware.com/2001/04/21/dont-let-architecture-astronauts-scare-you/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T07:08:52.631-05:00,2026-09-20 01:18:10
