index,title,desc,hot,url,image,source,type,ranking_id,published_at,datetime
1,通鼎互联 (002491),现价 22.23 · 涨跌 +10.00%,+10.00%,https://quote.eastmoney.com/sz002491.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
2,大金重工 (002487),现价 39.44 · 涨跌 +10.01%,+10.01%,https://quote.eastmoney.com/sz002487.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
3,诺德股份 (600110),现价 12.13 · 涨跌 +9.97%,+9.97%,https://quote.eastmoney.com/sh600110.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
4,双星新材 (002585),现价 12.06 · 涨跌 +10.04%,+10.04%,https://quote.eastmoney.com/sz002585.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
5,西陇科学 (002584),现价 8.68 · 涨跌 +10.01%,+10.01%,https://quote.eastmoney.com/sz002584.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
6,天顺风能 (002531),现价 7.81 · 涨跌 +10.00%,+10.00%,https://quote.eastmoney.com/sz002531.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
7,闽东电力 (000993),现价 16.80 · 涨跌 +10.02%,+10.02%,https://quote.eastmoney.com/sz000993.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
8,中国巨石 (600176),现价 47.09 · 涨跌 +3.97%,+3.97%,https://quote.eastmoney.com/sh600176.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
9,华正新材 (603186),现价 251.57 · 涨跌 +10.00%,+10.00%,https://quote.eastmoney.com/sh603186.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
10,山子高科 (000981),现价 3.02 · 涨跌 +5.96%,+5.96%,https://quote.eastmoney.com/sz000981.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
11,吉鑫科技 (601218),现价 5.18 · 涨跌 +9.98%,+9.98%,https://quote.eastmoney.com/sh601218.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
12,超声电子 (000823),现价 23.90 · 涨跌 +5.61%,+5.61%,https://quote.eastmoney.com/sz000823.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
13,浙江众成 (002522),现价 5.81 · 涨跌 +10.04%,+10.04%,https://quote.eastmoney.com/sz002522.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
14,大为股份 (002213),现价 29.49 · 涨跌 +10.00%,+10.00%,https://quote.eastmoney.com/sz002213.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
15,启明信息 (002232),现价 16.81 · 涨跌 +10.01%,+10.01%,https://quote.eastmoney.com/sz002232.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
16,中闽能源 (600163),现价 6.29 · 涨跌 +9.97%,+9.97%,https://quote.eastmoney.com/sh600163.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
17,中新赛克 (002912),现价 28.45 · 涨跌 +10.02%,+10.02%,https://quote.eastmoney.com/sz002912.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
18,远东股份 (600869),现价 21.92 · 涨跌 -10.02%,-10.02%,https://quote.eastmoney.com/sh600869.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
19,澳弘电子 (605058),现价 40.30 · 涨跌 +9.99%,+9.99%,https://quote.eastmoney.com/sh605058.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
20,赛力斯 (601127),现价 45.46 · 涨跌 -5.09%,-5.09%,https://quote.eastmoney.com/sh601127.html,,东方财富,股票人气榜,popularity,,2026-09-16 00:31:43
1,大金重工 (002487),现价 39.44 · 涨跌 +10.01%,+10.01%,https://quote.eastmoney.com/sz002487.html,,东方财富,股票人气榜,popularity,,2026-09-16 04:29:02
2,通鼎互联 (002491),现价 22.23 · 涨跌 +10.00%,+10.00%,https://quote.eastmoney.com/sz002491.html,,东方财富,股票人气榜,popularity,,2026-09-16 04:29:02
3,诺德股份 (600110),现价 12.13 · 涨跌 +9.97%,+9.97%,https://quote.eastmoney.com/sh600110.html,,东方财富,股票人气榜,popularity,,2026-09-16 04:29:02
4,天顺风能 (002531),现价 7.81 · 涨跌 +10.00%,+10.00%,https://quote.eastmoney.com/sz002531.html,,东方财富,股票人气榜,popularity,,2026-09-16 04:29:02
5,西陇科学 (002584),现价 8.68 · 涨跌 +10.01%,+10.01%,https://quote.eastmoney.com/sz002584.html,,东方财富,股票人气榜,popularity,,2026-09-16 04:29:02
6,双星新材 (002585),现价 12.06 · 涨跌 +10.04%,+10.04%,https://quote.eastmoney.com/sz002585.html,,东方财富,股票人气榜,popularity,,2026-09-16 04:29:02
7,吉鑫科技 (601218),现价 5.18 · 涨跌 +9.98%,+9.98%,https://quote.eastmoney.com/sh601218.html,,东方财富,股票人气榜,popularity,,2026-09-16 04:29:02
8,华正新材 (603186),现价 251.57 · 涨跌 +10.00%,+10.00%,https://quote.eastmoney.com/sh603186.html,,东方财富,股票人气榜,popularity,,2026-09-16 04:29:02
9,闽东电力 (000993),现价 16.80 · 涨跌 +10.02%,+10.02%,https://quote.eastmoney.com/sz000993.html,,东方财富,股票人气榜,popularity,,2026-09-16 04:29:02
10,中国巨石 (600176),现价 47.09 · 涨跌 +3.97%,+3.97%,https://quote.eastmoney.com/sh600176.html,,东方财富,股票人气榜,popularity,,2026-09-16 04:29:02
11,浙江众成 (002522),现价 5.81 · 涨跌 +10.04%,+10.04%,https://quote.eastmoney.com/sz002522.html,,东方财富,股票人气榜,popularity,,2026-09-16 04:29:02
12,超声电子 (000823),现价 23.90 · 涨跌 +5.61%,+5.61%,https://quote.eastmoney.com/sz000823.html,,东方财富,股票人气榜,popularity,,2026-09-16 04:29:02
13,山子高科 (000981),现价 3.02 · 涨跌 +5.96%,+5.96%,https://quote.eastmoney.com/sz000981.html,,东方财富,股票人气榜,popularity,,2026-09-16 04:29:02
14,启明信息 (002232),现价 16.81 · 涨跌 +10.01%,+10.01%,https://quote.eastmoney.com/sz002232.html,,东方财富,股票人气榜,popularity,,2026-09-16 04:29:02
