index,title,desc,hot,url,image,source,type,ranking_id,surface,published_at,datetime
1,N中塑 (301686),现价 433.00 · 涨跌 +683.29%,+683.29%,https://quote.eastmoney.com/sz301686.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
2,哈药股份 (600664),现价 9.08 · 涨跌 +10.06%,+10.06%,https://quote.eastmoney.com/sh600664.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
3,新华传媒 (600825),现价 6.42 · 涨跌 +9.93%,+9.93%,https://quote.eastmoney.com/sh600825.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
4,中国长城 (000066),现价 15.87 · 涨跌 +6.94%,+6.94%,https://quote.eastmoney.com/sz000066.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
5,百花医药 (600721),现价 14.47 · 涨跌 +10.04%,+10.04%,https://quote.eastmoney.com/sh600721.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
6,江淮汽车 (600418),现价 21.32 · 涨跌 +10.01%,+10.01%,https://quote.eastmoney.com/sh600418.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
7,金健米业 (600127),现价 16.47 · 涨跌 +4.57%,+4.57%,https://quote.eastmoney.com/sh600127.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
8,华瓷股份 (001216),现价 26.47 · 涨跌 +10.02%,+10.02%,https://quote.eastmoney.com/sz001216.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
9,智度股份 (000676),现价 7.45 · 涨跌 +10.04%,+10.04%,https://quote.eastmoney.com/sz000676.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
10,N世纪 (920229),现价 132.00 · 涨跌 +742.37%,+742.37%,https://quote.eastmoney.com/sz920229.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
11,南威软件 (603636),现价 8.01 · 涨跌 +10.03%,+10.03%,https://quote.eastmoney.com/sh603636.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
12,我爱我家 (000560),现价 3.51 · 涨跌 +10.03%,+10.03%,https://quote.eastmoney.com/sz000560.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
13,新华制药 (000756),现价 16.14 · 涨跌 +10.02%,+10.02%,https://quote.eastmoney.com/sz000756.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
14,引力传媒 (603598),现价 18.96 · 涨跌 +9.98%,+9.98%,https://quote.eastmoney.com/sh603598.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
15,二六三 (002467),现价 5.09 · 涨跌 +9.94%,+9.94%,https://quote.eastmoney.com/sz002467.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
16,中国出版 (601949),现价 6.62 · 涨跌 +9.97%,+9.97%,https://quote.eastmoney.com/sh601949.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
17,贤丰控股 (002141),现价 7.43 · 涨跌 +10.07%,+10.07%,https://quote.eastmoney.com/sz002141.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
18,华天科技 (002185),现价 18.28 · 涨跌 -1.46%,-1.46%,https://quote.eastmoney.com/sz002185.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
19,南兴股份 (002757),现价 19.86 · 涨跌 +10.03%,+10.03%,https://quote.eastmoney.com/sz002757.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
20,内蒙新华 (603230),现价 16.31 · 涨跌 +9.98%,+9.98%,https://quote.eastmoney.com/sh603230.html,,东方财富,股票人气榜,popularity,hotlist,,2026-09-23 00:32:58
