index,title,desc,author,language,stars,forks,today_forks,url,type,datetime
1,minio,"MinIO is a high-performance, S3 compatible object store, open sourced under GNU AGPLv3 license.",harshavardhana,Go,"56,354","6,293",143 stars today,https://github.com//minio/minio,GitHub_Go_daily,2025-10-24 02:41:21
2,blind_watermark,Blind&Invisible Watermark ，图片盲水印，提取水印无须原图！,guofei9987,Python,"8,719",933,913 stars today,https://github.com//guofei9987/blind_watermark,GitHub_Python_daily,2025-10-24 02:41:21
3,yaak,"The most intuitive desktop API client. Organize and execute REST, GraphQL, WebSockets, Server Sent Events, and gRPC 🦬",gschier,TypeScript,"13,155",456,"1,828 stars today",https://github.com//mountain-loop/yaak,GitHub_TypeScript_daily,2025-10-24 02:41:21
4,ladybird,Truly independent web browser,awesomekling,C++,"50,374","2,199",333 stars today,https://github.com//LadybirdBrowser/ladybird,GitHub_C++_daily,2025-10-24 02:41:21
5,paperless-ngx,"A community-supported supercharged document management system: scan, index and archive all your documents",shamoon,Python,"33,113","2,063",37 stars today,https://github.com//paperless-ngx/paperless-ngx,GitHub_Python_daily,2025-10-24 02:41:21
6,dyad,"Free, local, open-source AI app builder ✨ v0 / lovable / Bolt alternative 🌟 Star if you like it!",wwwillchen,TypeScript,"16,906","1,824",215 stars today,https://github.com//dyad-sh/dyad,GitHub_TypeScript_daily,2025-10-24 02:41:21
7,sherpa-onnx,"Speech-to-text, text-to-speech, speaker diarization, speech enhancement, source separation, and VAD using next-gen Kaldi with onnxruntime without Internet connection. Support embedded systems, Android, iOS, HarmonyOS, Raspberry Pi, RISC-V, x86_64 servers, websocket server/client, support 12 programming languages",csukuangfj,C++,"8,131",923,62 stars today,https://github.com//k2-fsa/sherpa-onnx,GitHub_C++_daily,2025-10-24 02:41:21
8,awesome-math,A curated list of awesome mathematics resources,rossant,Python,"11,023","1,109",588 stars today,https://github.com//rossant/awesome-math,GitHub_Python_daily,2025-10-24 02:41:21
9,uptime-kuma,A fancy self-hosted monitoring tool,louislam,JavaScript,"76,906","6,804",155 stars today,https://github.com//louislam/uptime-kuma,GitHub_JavaScript_daily,2025-10-24 02:41:21
10,cs249r_book,Introduction to Machine Learning Systems,profvjreddi,Python,"4,606",471,370 stars today,https://github.com//harvard-edge/cs249r_book,GitHub_Python_daily,2025-10-24 02:41:21
11,yt-dlp,A feature-rich command-line audio/video downloader,dstftw,Python,"131,820","10,590",199 stars today,https://github.com//yt-dlp/yt-dlp,GitHub_Python_daily,2025-10-24 02:41:21
12,torchforge,PyTorch-native post-training at scale,allenwang28,Python,258,29,50 stars today,https://github.com//meta-pytorch/torchforge,GitHub_Python_daily,2025-10-24 02:41:21
13,best-of-ml-python,🏆 A ranked list of awesome machine learning Python libraries. Updated weekly.,lukasmasuch,,"22,345","3,004",43 stars today,https://github.com//lukasmasuch/best-of-ml-python,GitHub__daily,2025-10-24 02:41:21
