index,title,desc,hot,url,image,source,type,ranking_id,surface,published_at,datetime
1,convaiinnovations/laya,0 downloads · 3639 likes · text-classification,3367,https://huggingface.co/convaiinnovations/laya,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
2,Qwen/Qwen-Image-2.1,42469 downloads · 2304 likes · text-to-image,2134,https://huggingface.co/Qwen/Qwen-Image-2.1,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
3,abenzerps/Qwen-Image-2.1-Uncensored-GGUF,715906 downloads · 1757 likes · text-to-image,1535,https://huggingface.co/abenzerps/Qwen-Image-2.1-Uncensored-GGUF,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
4,XingChen-AGI/Xing4.0-29B-A4B,42950 downloads · 1684 likes · text-generation,1226,https://huggingface.co/XingChen-AGI/Xing4.0-29B-A4B,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
5,prism-ml/Ternary-Bonsai-2-27B-gguf,3109078 downloads · 2082 likes · text-generation,1118,https://huggingface.co/prism-ml/Ternary-Bonsai-2-27B-gguf,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
6,Comfy-Org/Qwen-Image-2.1,3266380 downloads · 723 likes,686,https://huggingface.co/Comfy-Org/Qwen-Image-2.1,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
7,Altworld/Hemmingway-1,4978 downloads · 666 likes · text-generation,651,https://huggingface.co/Altworld/Hemmingway-1,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
8,Edge0/Audio8-ASR-Infinite,2853 downloads · 551 likes · automatic-speech-recognition,496,https://huggingface.co/Edge0/Audio8-ASR-Infinite,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
9,XiaomiMiMo/MiMo-V2.6-Pro-RL,42062 downloads · 494 likes · text-generation,484,https://huggingface.co/XiaomiMiMo/MiMo-V2.6-Pro-RL,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
10,TaichuAI/ZDTaichu5.0-9B,9498 downloads · 1046 likes · image-text-to-text,478,https://huggingface.co/TaichuAI/ZDTaichu5.0-9B,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
11,XiaomiMiMo/MiMo-V2.6-Distill-Qwen-9B,6652 downloads · 469 likes · image-text-to-text,460,https://huggingface.co/XiaomiMiMo/MiMo-V2.6-Distill-Qwen-9B,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
12,Qwen/Qwen3.8-27B,6579319 downloads · 16264 likes · image-text-to-text,455,https://huggingface.co/Qwen/Qwen3.8-27B,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
13,XiaomiMiMo/MiMo-V2.6-Flash-RL,20473 downloads · 456 likes · text-generation,451,https://huggingface.co/XiaomiMiMo/MiMo-V2.6-Flash-RL,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
14,AlexWortega/openjev,0 downloads · 574 likes · text-classification,436,https://huggingface.co/AlexWortega/openjev,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
15,deepseek-ai/DeepSeek-V4.1-Flash,621396 downloads · 3748 likes · image-text-to-text,415,https://huggingface.co/deepseek-ai/DeepSeek-V4.1-Flash,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
16,Lightricks/LTX-2.5,1598133 downloads · 5093 likes · image-to-video,365,https://huggingface.co/Lightricks/LTX-2.5,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
17,ISTA-DASLab/Qwen3.8-27B-GSQ-RCO-GGUF,1510016 downloads · 1693 likes · image-text-to-text,353,https://huggingface.co/ISTA-DASLab/Qwen3.8-27B-GSQ-RCO-GGUF,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
18,nvidia/Nemotron-3-Diarization,11459 downloads · 332 likes · voice-activity-detection,324,https://huggingface.co/nvidia/Nemotron-3-Diarization,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
19,netease-youdao/Confucius4-R2T2,5827 downloads · 407 likes · automatic-speech-recognition,313,https://huggingface.co/netease-youdao/Confucius4-R2T2,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
20,yandex/AliceAI-Foundation-80B-A3B-Base,2911 downloads · 333 likes · text-generation,298,https://huggingface.co/yandex/AliceAI-Foundation-80B-A3B-Base,,Hugging Face,Trending Models,models,hotlist,,2026-09-26 03:27:23
