index,title,desc,hot,url,image,source,type,ranking_id,surface,published_at,datetime
1,时政新闻眼丨化愿景为行动，习近平为中美落实新定位指明方向路径,金秋，北京—华盛顿，一道跨越太平洋的航线汇聚起全球视线。当地时间24日，习近平主席此访最重磅的一系列国事活动在白宫举行。中美元首在又一轮历史性互动中，就关乎两国关系和世界局势的重大问题深入交流。中美如何走出一条大国正确相处之道？面对动荡变革的世界，大国当如何作为？一场场活动、一个个细节里蕴含着答案。01华盛顿会晤的细节与深意当地时间24日上午，嘹亮的迎宾号角中，习近平主席夫妇乘车抵达白宫。特朗普总统夫妇在下车处热情迎接。宾主握手寒暄，并肩合影，闪光灯亮起，快门声频密。他们身后，中美两国国旗迎风飘扬。这一天的白宫，主题词是中国。△白宫主楼，礼兵列队迎接习主席到访。（总台央视记者程铖拍摄）此前一天...,992179,https://view.inews.qq.com/a/20260925A02IGB00,,腾讯新闻,热点榜,latest,hotlist,2026-09-25 06:35:15,2026-09-26 00:25:34
2,学习快评丨共同浇灌中美友谊的美丽花朵,“让我们携手并进，共同浇灌中美友谊的美丽花朵，共同书写中美友好的崭新篇章。”当地时间9月24日晚，国家主席习近平和夫人彭丽媛出席美国总统特朗普和夫人梅拉尼娅在白宫举行的欢迎国宴。习近平主席深情回顾两国人民友好交往历史，为厚植中美友谊、开创两国关系美好未来注入信心和力量。 国之交在于民相亲，正是善意友好的...,2066246,https://view.inews.qq.com/a/20260925A086Y800,,腾讯新闻,热点榜,latest,hotlist,2026-09-25 17:35:56,2026-09-26 00:25:34
3,中美元首华盛顿会晤，为何“规格罕见”？,当地时间9月23日，国家主席习近平与夫人彭丽媛乘机抵达美国首都华盛顿。美国总统特朗普亲自赴机场迎接。      这一安排极为特殊。1959年，时任美国总统艾森豪威尔曾在舷梯下迎接当时的苏联最高领导人....,1857440,https://view.inews.qq.com/a/20260925A09PEP00,,腾讯新闻,热点榜,latest,hotlist,2026-09-25 20:48:00,2026-09-26 00:25:34
4,壹视界·心相知丨一撇一捺，中美青年“双向奔赴”,‍‍‍‌‍‍‌国与国之间的关系，始于人与人之间的情谊。习近平主席曾以“人”字为喻：“在汉字中，‘人’字就是一个相互支撑的形状。中美友好，根基在民众，希望在青年。”一撇，是美国青年跨洋而来。他们写书法、看机器人、唱合唱、打棒球、赛乒乓，在真实的中国大地上感知一个立体、全面的中国。一捺，是中国青年张开双...,1750770,https://view.inews.qq.com/a/20260925A04Z6P00,,腾讯新闻,热点榜,latest,hotlist,2026-09-25 12:24:05,2026-09-26 00:25:34
5,中秋，圆满！亚运会中国游泳30金13银11铜收官,第二十届亚运会，中国游泳30金13银11铜收官，创造了亚运参赛历史最好成绩，游泳队中秋圆满。天上月圆，人间团圆，赛场梦圆。愿月光所至，万事胜意；愿此心归处，家国平安。 (来源:人民日报微博)...,1693363,https://view.inews.qq.com/a/20260925A09IZ800,,腾讯新闻,热点榜,latest,hotlist,2026-09-25 20:12:04,2026-09-26 00:25:34
6,当地时间9月24日晚，美国总统特朗普在白宫为中国国家主席习近平举行欢迎晚宴，特朗普在白宫欢迎宴会上发表致辞时表示：“我很荣幸向中国领导人赠送一份礼物，它由一位杰出的美国雕塑家创作，（美国第一夫人）梅拉尼娅和我本人也亲自参与了设计，”特朗普随后展示了这尊雕像，造型是一只大鸟在树枝上展翅,当地时间9月24日晚，美国总统特朗普在白宫为中国国家主席习近平举行欢迎晚宴。特朗普在白宫欢迎宴会上发表致辞时表示：“我很荣...,1663795,https://view.inews.qq.com/a/20260925V09CQQ00,,腾讯新闻,热点榜,latest,hotlist,2026-09-25 19:44:48,2026-09-26 00:25:34
7,此行间·习近平分享这个好消息，特朗普笑着点头致意,‍‍‍‌‍‍‌大熊猫是中美两国人民友谊的使者。在白宫欢迎仪式上，当习近平主席宣布大熊猫“平平”、“福双”将同美国人民见面时，特朗普总统笑着点头致意。(来源:人民日报客户端),1642494,https://view.inews.qq.com/a/20260925A01OY000,,腾讯新闻,热点榜,latest,hotlist,2026-09-25 03:10:44,2026-09-26 00:25:34
8,第一次想到这么拍月亮的人真是天才！给我也吃一口,你手机里有没有一张关于月亮的照片？也许是某天你为梦想奋斗回来的路上无意间抬头望见月亮也许是某个团圆的瞬间你和家人站在院子里月色极致温柔你的手机里拍过哪些月亮呢？你是在什么时候拍下它的？那时的你又有着怎样的故事呢？今天和大家一起分享分享你拍过的月亮吧~在不同的清辉下认真生活的身影踏实且坚定月亮始终是...,1627911,https://view.inews.qq.com/a/20260925A09U0300,,腾讯新闻,热点榜,latest,hotlist,2026-09-25 20:01:23,2026-09-26 00:25:34
9,视频丨花灯璀璨 市集热闹 多地焕新迎中秋国庆,伴着日渐浓郁的秋意，月满中秋，也即将迎来国庆节，各地节日氛围浓厚。 国庆节将至 街头挂满“中国红”在四川成都和云南普洱，街头巷尾的五星红旗整齐悬挂、迎风飘扬，绘成了一道道美丽的风景线。在四川成都天府大道，一面面五星红旗次第排开，一路延展。车流穿行其间，鲜艳的国旗与城市街景交相辉映。路过的市民被浓浓的节日氛围感染。在云南普洱市思茅区的城市街巷，五星红旗同样整齐悬挂、迎风飘扬，绿化带鲜花绽放，处处洋溢着喜庆浓厚的节日氛围。今年，当地共在城区悬挂国旗900余面，实现重点路段全覆盖。 花灯装点 北京焕新迎双节中秋、国庆双节临近，北京各个街区焕然一新，极具节日氛围的花灯、艺术装置提前搭建完成，一系列双节...,1614974,https://view.inews.qq.com/a/20260925A00K5G00,,腾讯新闻,热点榜,latest,hotlist,2026-09-25 07:18:37,2026-09-26 00:25:34
10,新一轮购车补贴来了，多地放大招！买车前这笔账要算清,新一轮购车补贴来了。近期，全国多地推出汽车促消费活动，既有省级专项补贴，也有市级、区级购车优惠。有购车、换车计划的消费者，这波优惠可别错过。这轮补贴力度如何？申领时又该注意什么？ 多地推出汽车购新补贴省级、市级优惠密集落地 甘肃：安排600万元专项资金 单车最高补贴3000元甘肃省统筹600万元省级专项促消费资金，9月23日至10月7日期间在全省范围内开展汽车购新补贴活动。补贴面向在甘肃购置非营运全新乘用车的个人消费者，覆盖9座及以下燃油、新能源乘用车，可与市县购新补贴叠加享受，不与汽车报废更新、置换更新补贴重复申领，单人年度仅限申领一次。补贴设置两档标准，以机动车销售统一发票含税价为依据：1...,1608325,https://view.inews.qq.com/a/20260925A06X5C00,,腾讯新闻,热点榜,latest,hotlist,2026-09-25 17:19:19,2026-09-26 00:25:34
