index,title,desc,hot,url,image,source,type,ranking_id,surface,published_at,datetime
1,paperclip,"The open-source app everyone uses to manage agents at work · TypeScript · 1,853 stars today","84,324",https://github.com/paperclipai/paperclip,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
2,claude-plugins-official,"Official, Anthropic-managed directory of high quality Claude Code Plugins. · Python · 62 stars today","36,839",https://github.com/anthropics/claude-plugins-official,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
3,hindsight,"Hindsight: Agent Memory That Learns · Python · 1,652 stars today","29,611",https://github.com/vectorize-io/hindsight,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
4,superpowers,An agentic skills framework & software development methodology that works. · Shell · 465 stars today,"291,560",https://github.com/obra/superpowers,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
5,skills,Skills for Real Engineers. Straight from my .agents directory. · Shell · 588 stars today,"269,593",https://github.com/mattpocock/skills,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
6,univer,"The Office Harness for AI Agents — Spreadsheets, Docs, Slides, Canvas, Relational Tables, and PDF in one runtime. · TypeScript · 1,048 stars today","18,307",https://github.com/dream-num/univer,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
7,skills,Public repository for Agent Skills · Python · 231 stars today,"178,201",https://github.com/anthropics/skills,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
8,starnet,"A living pixel-art station where real AI agents do real work. Local-first desktop agent harness - bring your own key, watch your crew actually run. · JavaScript · 118 stars today",393,https://github.com/androoAGI/starnet,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
9,wifit3,Wifite but USB-only & cross-platform. · Python · 168 stars today,816,https://github.com/derv82/wifit3,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
10,kubernetes-the-hard-way,Bootstrap Kubernetes the hard way. No scripts. · 105 stars today,"50,081",https://github.com/kelseyhightower/kubernetes-the-hard-way,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
11,ai-engineering-from-scratch,"Learn it. Build it. Ship it for others. · Python · 1,181 stars today","57,319",https://github.com/rohitg00/ai-engineering-from-scratch,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
12,tick-stock-panel,TSP自托管、零运维的 A 股「选股 + 监控 + 回测」量化工作台 | LLM能力驱使策略定制+个股分析+复盘 | 自由接入第三方数据源与个性化扩展数据 | 个人开源 · Python · 31 stars today,"5,101",https://github.com/shy3130/tick-stock-panel,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
13,ax,"Google's open agentic orchestration runtime · Go · 1,386 stars today","11,329",https://github.com/google/ax,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
14,Model-Optimizer,"A unified library of SOTA model optimization techniques like quantization, distillation, pruning, neural architecture search, speculative decoding, etc. It compresses deep learning models for downstream deployment frameworks like TensorRT-LLM, TensorRT, vLLM, etc. to optimize inference speed. · Python · 360 stars today","4,371",https://github.com/NVIDIA/Model-Optimizer,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
15,impeccable,The design language that makes your AI harness better at design. · JavaScript · 326 stars today,"71,081",https://github.com/pbakaus/impeccable,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
16,openbao,"OpenBao is a software solution to manage, store, and distribute sensitive data including secrets, certificates, and keys. · Go · 16 stars today","7,631",https://github.com/openbao/openbao,,GitHub,每日趋势,daily,hotlist,,2026-09-26 02:34:35
1,security-audit-skill,"A coding-agent skill for multi-phase security audits with independently verified, machine-readable findings · JavaScript · 11,262 stars this week","21,566",https://github.com/cloudflare/security-audit-skill,,GitHub,每周趋势,weekly,hotlist,,2026-09-26 02:34:35
2,financial-services,"Python · 2,382 stars this week","37,514",https://github.com/anthropics/financial-services,,GitHub,每周趋势,weekly,hotlist,,2026-09-26 02:34:35
3,claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands. · TypeScript · 2,384 stars this week","148,071",https://github.com/anthropics/claude-code,,GitHub,每周趋势,weekly,hotlist,,2026-09-26 02:34:35
4,open-code-review,"Secure, fast, efficient, battle-tested at Alibaba's scale. Hybrid architecture code review tool: deterministic pipelines + LLM Agent, precise line-level comments, built-in multi-language ruleset (NPE, thread-safety, XSS, SQL injection), OpenAI & Anthropic compatible. · Go · 6,920 stars this week","41,244",https://github.com/alibaba/open-code-review,,GitHub,每周趋势,weekly,hotlist,,2026-09-26 02:34:35
5,ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond. · JavaScript · 6,193 stars this week","267,361",https://github.com/affaan-m/ECC,,GitHub,每周趋势,weekly,hotlist,,2026-09-26 02:34:35
6,WeKnora,"Open-source LLM knowledge platform: turn raw documents into a queryable RAG, an autonomous reasoning agent, and a self-maintaining Wiki. · Go · 3,749 stars this week","30,013",https://github.com/Tencent/WeKnora,,GitHub,每周趋势,weekly,hotlist,,2026-09-26 02:34:35
7,agent-skills,"Production-grade engineering skills for AI coding agents. · JavaScript · 3,345 stars this week","99,028",https://github.com/addyosmani/agent-skills,,GitHub,每周趋势,weekly,hotlist,,2026-09-26 02:34:35
8,orca,"Orca is the ADE for working with a fleet of parallel agents. Run any coding agent with your own subscription. Available on desktop, mobile and remote runtime. · TypeScript · 6,547 stars this week","78,165",https://github.com/stablyai/orca,,GitHub,每周趋势,weekly,hotlist,,2026-09-26 02:34:35
9,hindsight,"Hindsight: Agent Memory That Learns · Python · 3,363 stars this week","29,611",https://github.com/vectorize-io/hindsight,,GitHub,每周趋势,weekly,hotlist,,2026-09-26 02:34:35
10,knowledge-work-plugins,"Open source repository of plugins primarily intended for knowledge workers to use in Claude Cowork · Python · 1,118 stars this week","25,600",https://github.com/anthropics/knowledge-work-plugins,,GitHub,每周趋势,weekly,hotlist,,2026-09-26 02:34:35
11,claude-code-templates,CLI tool for configuring and monitoring Claude Code · Python · 965 stars this week,"31,800",https://github.com/davila7/claude-code-templates,,GitHub,每周趋势,weekly,hotlist,,2026-09-26 02:34:35
12,paperclip,"The open-source app everyone uses to manage agents at work · TypeScript · 2,321 stars this week","84,324",https://github.com/paperclipai/paperclip,,GitHub,每周趋势,weekly,hotlist,,2026-09-26 02:34:35
13,pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration · Python · 228 stars this week,"103,309",https://github.com/pytorch/pytorch,,GitHub,每周趋势,weekly,hotlist,,2026-09-26 02:34:35
14,Octop,"A smarter, self-hosted AI assistant — multi-user, multi-agent. · Python · 1,608 stars this week","4,933",https://github.com/TencentCloud/Octop,,GitHub,每周趋势,weekly,hotlist,,2026-09-26 02:34:35
