index,title,desc,author,language,stars,forks,today_forks,url,type,datetime
1,khoj,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.",debanjum,Python,"27,234","1,502",113 stars today,https://github.com//khoj-ai/khoj,GitHub_Python_daily,2025-03-27 02:31:29
2,ingress-nginx,Ingress NGINX Controller for Kubernetes,aledbf,Go,"18,141","8,334",45 stars today,https://github.com//kubernetes/ingress-nginx,GitHub_Go_daily,2025-03-27 02:31:29
3,spring-ai-alibaba,Agentic AI Framework for Java Developers,chickenlj,Java,"1,552",328,192 stars today,https://github.com//alibaba/spring-ai-alibaba,GitHub_Java_daily,2025-03-27 02:31:29
4,newsnow,Elegant reading of real-time and hottest news,ourongxing,TypeScript,"5,549","1,346",379 stars today,https://github.com//ourongxing/newsnow,GitHub_TypeScript_daily,2025-03-27 02:31:29
5,Ultimate-RAT-Collection,"For educational purposes only, exhaustive samples of 450+ classic/modern trojan builders including screenshots.",Cryakl,,"1,966",351,332 stars today,https://github.com//Cryakl/Ultimate-RAT-Collection,GitHub__daily,2025-03-27 02:31:29
6,star-vector,"StarVector is a foundation model for SVG generation that transforms vectorization into a code generation task. Using a vision-language modeling architecture, StarVector processes both visual and textual inputs to produce high-quality SVG code with remarkable precision.",joanrod,Python,"2,480",130,296 stars today,https://github.com//joanrod/star-vector,GitHub_Python_daily,2025-03-27 02:31:29
7,DeepSeek-V3,,mowentian,Python,"93,754","15,211",342 stars today,https://github.com//deepseek-ai/DeepSeek-V3,GitHub_Python_daily,2025-03-27 02:31:29
8,shadPS4,"PlayStation 4 emulator for Windows, Linux and macOS written in C++",georgemoralis,C++,"19,467","1,195",67 stars today,https://github.com//shadps4-emu/shadPS4,GitHub_C++_daily,2025-03-27 02:31:29
9,EOS,"This repository features an Energy Optimization System (EOS) that optimizes energy distribution, usage for batteries, heat pumps& household devices. It includes predictive models for electricity prices (planned), load forecasting& dynamic optimization to maximize energy efficiency & minimize costs. Founder Dr. Andreas Schmitz (YouTube @akkudoktor)",drbacke,Python,759,70,14 stars today,https://github.com//Akkudoktor-EOS/EOS,GitHub_Python_daily,2025-03-27 02:31:29
10,browser-use,Make websites accessible for AI agents,MagMueller,Python,"49,114","5,114",767 stars today,https://github.com//browser-use/browser-use,GitHub_Python_daily,2025-03-27 02:31:29
11,GenAI_Agents,"This repository provides tutorials and implementations for various Generative AI Agent techniques, from basic to advanced. It serves as a comprehensive guide for building intelligent, interactive AI systems.",NirDiamant,Jupyter Notebook,"10,081","1,285",278 stars today,https://github.com//NirDiamant/GenAI_Agents,GitHub_Jupyter Notebook_daily,2025-03-27 02:31:29
12,devops-exercises,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",surister,Python,"71,663","16,030",359 stars today,https://github.com//bregman-arie/devops-exercises,GitHub_Python_daily,2025-03-27 02:31:29
13,Signal-Android,A private messenger for Android.,greyson-signal,Kotlin,"26,404","6,324",52 stars today,https://github.com//signalapp/Signal-Android,GitHub_Kotlin_daily,2025-03-27 02:31:29
14,hyperswitch,"An open source payments switch written in Rust to make payments fast, reliable and affordable",hyperswitch-bot,Rust,"14,215","1,481",21 stars today,https://github.com//juspay/hyperswitch,GitHub_Rust_daily,2025-03-27 02:31:29
1,Deep-Live-Cam,real time face swap and one-click video deepfake with only a single image,hacksider,Python,"48,315","7,103","3,188 stars this week",https://github.com//hacksider/Deep-Live-Cam,GitHub_Python_weekly,2025-03-27 02:31:29
2,ruoyi-ai,RuoYi AI 是一个全栈式 AI 开发平台，旨在帮助开发者快速构建和部署个性化的 AI 应用。,ageerle,Java,"1,878",440,"1,069 stars this week",https://github.com//ageerle/ruoyi-ai,GitHub_Java_weekly,2025-03-27 02:31:29
3,OCRmyPDF,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched",jbarlow83,Python,"25,205","1,651","4,021 stars this week",https://github.com//ocrmypdf/OCRmyPDF,GitHub_Python_weekly,2025-03-27 02:31:29
4,OpenBB,"Investment Research for Everyone, Everywhere.",jmaslek,Python,"39,534","3,524","1,970 stars this week",https://github.com//OpenBB-finance/OpenBB,GitHub_Python_weekly,2025-03-27 02:31:29
5,qlib,"Qlib is an AI-oriented quantitative investment platform that aims to realize the potential, empower research, and create value using AI technologies in quantitative investment, from exploring ideas to implementing productions. Qlib supports diverse machine learning modeling paradigms. including supervised learning, market dynamics modeling, and RL.",you-n-g,Python,"17,752","2,975",671 stars this week,https://github.com//microsoft/qlib,GitHub_Python_weekly,2025-03-27 02:31:29
6,Folo,🧡 Follow everything in one place,Innei,TypeScript,"24,349","1,029","1,045 stars this week",https://github.com//RSSNext/Folo,GitHub_TypeScript_weekly,2025-03-27 02:31:29
7,shadcn-admin,Admin Dashboard UI built with Shadcn and Vite.,satnaing,TypeScript,"6,550",800,"1,815 stars this week",https://github.com//satnaing/shadcn-admin,GitHub_TypeScript_weekly,2025-03-27 02:31:29
