index,title,desc,hot,url,image,source,type,ranking_id,published_at,datetime
1,8点1氪丨创始人及员工被恶意造谣，月之暗面：已报案；25位菲尔兹奖得主就AI侵入数学联合发出警告；智谱宣布融资50亿美元,,37029,https://www.36kr.com/p/3982504266349314,"https://img.36krcdn.com/hsossms/20260914/v2_e54691a781d74823bfbb2309cfb2c244@5667365_oswg82810oswg1053oswg495_img_jpg?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,hot,,2026-09-15 00:22:43
2,蓝思科技的压力，不只是手机卖不动,,30014,https://www.36kr.com/p/3982707524844544,https://img.36krcdn.com/hsossms/20260914/v2_fb6af58bcd9f48b185d6a21ed8c22da9@1743780481@ai_oswg785367oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
3,去年最火赛道，崩盘了,,24308,https://www.36kr.com/p/3981659926444808,https://img.36krcdn.com/hsossms/20260913/v2_c2d05f5f6194487e8dc42f40fce8fddd@000000@ai_oswg738563oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
4,微信悄悄整大活，Mac版强化内置浏览器，为超级Agent铺路的节奏？,,20505,https://www.36kr.com/p/3981843730978689,https://img.36krcdn.com/hsossms/20260914/v2_d7e4ab4ce76644d4aa9c6f4690c993b4@1743780481@ai_oswg883158oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
5,中国最有钱的几大公司，突然拼命借钱,,18118,https://www.36kr.com/p/3981729564441609,https://img.36krcdn.com/hsossms/20260913/v2_8127fcd0dc2145ac88552296ebb3e9d7@000000@ai_oswg882321oswg2848oswg1600_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
6,一个月净赚5万元，小红书上爆火的“避雷帖”养活一条暴利灰产,,15022,https://www.36kr.com/p/3982855580416772,https://img.36krcdn.com/hsossms/20260914/v2_5370bb72924b49d0827cdeba4dc850ad@5888275@ai_oswg814518oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
7,震撼，果蝇大脑成功接上了ChatGPT,,15014,https://www.36kr.com/p/3982957231995910,https://img.36krcdn.com/hsossms/20260914/v2_bfd36ba0c8af4d9ba997b79ddae5f228@5888275@ai_oswg857275oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
8,奥特曼深夜长文警告：AI巨头必须集体“踩刹车”,,14491,https://www.36kr.com/p/3983164706520068,https://img.36krcdn.com/hsossms/20260914/v2_fb224c4402c842138fcfa5c1a6276220@5888275@ai_oswg865949oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
9,高中前不许碰 AI，纽约市给美国教育划下史上最狠红线,,13998,https://www.36kr.com/p/3981356827940482,https://img.36krcdn.com/hsossms/20260913/v2_d037d673acf842799f77e9bfe0d64b0c@1743780481@ai_oswg999382oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
10,iPhone Duo 和 18 Pro 毁誉参半？所有人都忽略了这些细节,,13243,https://www.36kr.com/p/3982673086675712,https://img.36krcdn.com/hsossms/20260914/v2_0435183fce8943ddbccab70a2516d1be@000000@ai_oswg772961oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
11,刚刚，Dario紧急抛出AI全球共管计划,,12104,https://www.36kr.com/p/3982505651665923,https://img.36krcdn.com/hsossms/20260914/v2_c5eb1910477f421697c0291864cfb5b1@000000@ai_oswg740620oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
12,让 iPhone 成为一整块玻璃有多难,,11596,https://www.36kr.com/p/3981258056203014,https://img.36krcdn.com/hsossms/20260913/v2_7f6cdd8cbfe44337a1fd4ef4fe20754f@1743780481@ai_oswg739435oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
13,谷歌DeepMind，已经破解RSI?,,10502,https://www.36kr.com/p/3981566976080643,https://img.36krcdn.com/hsossms/20260913/v2_fa785c48f19d45d79f0b333db9ca4ed2@000000@ai_oswg664251oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
14,投资30亿，“太乙”想救“哪吒”,,10025,https://www.36kr.com/p/3982752518192131,https://img.36krcdn.com/hsossms/20260914/v2_7359a14975ea4769854374ab16d12b5a@5667365@ai_oswg984707oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
15,全网震撼，菲奖得主未解难题，竟被两名高中生用AI攻破了,,9809,https://www.36kr.com/p/3981372944858115,https://img.36krcdn.com/hsossms/20260913/v2_6850d5f9898d44dfa6500811a88e9ced@1743780481@ai_oswg783351oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
16,仅仅半年，6亿人“中毒”AI短剧,,9286,https://www.36kr.com/p/3982007480498953,https://img.36krcdn.com/hsossms/20260913/v2_2b337e922daa44e58dfcadd1a7470828@000000@ai_oswg851165oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
17,Astra写的代码，人类已经看不懂了,,8739,https://www.36kr.com/p/3981498492353542,https://img.36krcdn.com/hsossms/20260913/v2_d15642c2817b484eb189ebabf8725d31@000000@ai_oswg957186oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
18,一只鹈鹕成了Agent时代最大的明星,,8546,https://www.36kr.com/p/3982715686583301,https://img.36krcdn.com/hsossms/20260914/v2_baa0574e80844709b4987b4fa590bd51@1743780481@ai_oswg890441oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
19,突发，Dario提全球AI限速三步计划，奥特曼马斯克第一时间支持,,8161,https://www.36kr.com/p/3981056866597638,https://img.36krcdn.com/hsossms/20260913/v2_2205db6b20974f9f86ca14c073e376a5@000000@ai_oswg822092oswg2848oswg1600_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
20,GPT-6 Astra开放Plus，20美元只能拿它干活，不能聊天,,7538,https://www.36kr.com/p/3982956032408579,https://img.36krcdn.com/hsossms/20260914/v2_0121c8dfc61d469d88104eb313a2433c@5888275@ai_oswg754641oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
21,DeepSeek V4.1 Flash用了哪些黑科技？竟让Flash（差点）逼退Pro,,7538,https://www.36kr.com/p/3980013761182466,https://img.36krcdn.com/hsossms/20260912/v2_d90cb3f3a8734491b2807a392cd84413@000000@ai_oswg690056oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
22,人人都在买纯电，还有必要再折腾燃油车吗？,,7083,https://www.36kr.com/p/3981317501467393,https://img.36krcdn.com/hsossms/20260913/v2_0712a7e8479c48d29690b13d6e473854@000000@ai_oswg874657oswg2848oswg1600_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
23,28年老牌高尔夫科技公司，自研AI模拟器，营收数亿｜Insight全球,,6183,https://www.36kr.com/p/3962843190738311,"https://img.36krcdn.com/hsossms/20260914/v2_5c18bbedb5b9408db7f72898bfa89ed6@6022551_oswg885950oswg1053oswg495_img_png?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,hot,,2026-09-15 00:22:43
24,特斯拉降价无人维权？非也,,5944,https://www.36kr.com/p/3981198700624645,https://img.36krcdn.com/hsossms/20260913/v2_f91c5e48bd6b4492a0c5473dade017aa@000000@ai_oswg979704oswg2848oswg1600_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-15 00:22:43
